 9/20/2023 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; 230b34fe-b55b-44c7-95da-d7f8bcd9de6e
 10/20/2023 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; 8f6625f1-ae3d-4408-a1eb-8b9a4a7838da
 11/20/2023 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; ac97af30-1e2f-4d90-83f6-19cba641cd9d
 12/20/2023 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; 577f3f76-5942-48a9-bd07-8dd2daa1a044
 1/20/2024 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; f9f56487-c96d-48d5-a713-a24c9eff041c
 2/20/2024 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; f6aa70bf-6892-4881-a899-f9d9a74696e4
 3/20/2024 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; 6553c830-d45e-420b-8050-2bbc7d7c00ba
 4/20/2024 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; 14c3c617-b4f6-4e6e-b4ee-69e2d3b0cca2
 5/20/2024 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; 9a83c0f9-8527-4c84-ad9c-598626523abf
 6/20/2024 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; 8d00b816-3ce9-4dda-8c87-915dd68d4b78
 7/20/2024 12:00:00 AM ; Income ; Salary ; dads ; 2000 ; c21f1a9e-a97a-4a74-a949-2abf07bc0440
 9/20/2023 12:00:00 AM ; Expense ; Food ; sadas ; 1000 ; 6219af3d-96d3-44b0-904b-a4571f84412a
 9/20/2023 12:00:00 AM ; Expense ; Food ; sad ; 1000 ; 80b80eec-f30e-4cde-aa0d-2e57049ba19f
 9/20/2023 12:00:00 AM ; Income ; Salary ; dasd ; 1000 ; b3a1f2b1-af48-4b2e-a5e8-14fcbabbfcc0
 9/20/2023 12:00:00 AM ; Expense ; Food ; sdad ; 100 ; 854b9336-c4f6-465d-86df-fb4a4b1da0b3
